date,Lisbon
2014-06-29,111.67945439045184
2014-07-06,109.81813015061098
2014-07-13,111.67945439045184
2014-07-20,109.81813015061098
2014-07-27,113.5407786302927
2014-08-03,107.95680591077011
2014-08-10,106.09548167092925
2014-08-17,117.26342710997443
2014-08-24,106.09548167092925
2014-08-31,109.81813015061098
2014-09-07,104.23415743108839
2014-09-14,111.67945439045184
2014-09-21,104.23415743108839
2014-09-28,126.57004830917876
2014-10-05,109.81813015061098
2014-10-12,100.51150895140665
2014-10-19,91.20488775220234
2014-10-26,96.78886047172493
2014-11-02,93.06621199204321
2014-11-09,87.48223927252062
2014-11-16,81.89826655299802
2014-11-23,87.48223927252062
2014-11-30,80.03694231315716
2014-12-07,96.78886047172493
2014-12-14,76.31429383347543
2014-12-21,74.45296959363456
2014-12-28,93.06621199204321
2015-01-04,96.78886047172493
2015-01-11,94.92753623188406
2015-01-18,98.6501847115658
2015-01-25,93.06621199204321
2015-02-01,93.06621199204321
2015-02-08,96.78886047172493
2015-02-15,104.23415743108839
2015-02-22,106.09548167092925
2015-03-01,104.23415743108839
2015-03-08,102.37283319124752
2015-03-15,107.95680591077011
2015-03-22,104.23415743108839
2015-03-29,109.81813015061098
2015-04-05,115.40210287013358
2015-04-12,109.81813015061098
2015-04-19,109.81813015061098
2015-04-26,111.67945439045184
2015-05-03,113.5407786302927
2015-05-10,109.81813015061098
2015-05-17,113.5407786302927
2015-05-24,113.5407786302927
2015-05-31,117.26342710997443
2015-06-07,111.67945439045184
2015-06-14,117.26342710997443
2015-06-21,111.67945439045184
2015-06-28,126.57004830917876
2015-07-05,122.84739982949702
2015-07-12,119.1247513498153
2015-07-19,117.26342710997443
2015-07-26,115.40210287013358
2015-08-02,119.1247513498153
2015-08-09,120.98607558965617
2015-08-16,115.40210287013358
2015-08-23,115.40210287013358
2015-08-30,115.40210287013358
2015-09-06,117.26342710997443
2015-09-13,120.98607558965617
2015-09-20,117.26342710997443
2015-09-27,115.40210287013358
2015-10-04,107.95680591077011
2015-10-11,106.09548167092925
2015-10-18,109.81813015061098
2015-10-25,102.37283319124752
2015-11-01,106.09548167092925
2015-11-08,89.34356351236147
2015-11-15,85.62091503267975
2015-11-22,81.89826655299802
2015-11-29,83.75959079283888
2015-12-06,85.62091503267975
2015-12-13,81.89826655299802
2015-12-20,80.03694231315716
2015-12-27,106.09548167092925
2016-01-03,106.09548167092925
2016-01-10,106.09548167092925
2016-01-17,107.95680591077011
2016-01-24,109.81813015061098
2016-01-31,106.09548167092925
2016-02-07,113.5407786302927
2016-02-14,115.40210287013358
2016-02-21,115.40210287013358
2016-02-28,115.40210287013358
2016-03-06,113.5407786302927
2016-03-13,117.26342710997443
2016-03-20,122.84739982949702
2016-03-27,115.40210287013358
2016-04-03,122.84739982949702
2016-04-10,128.4313725490196
2016-04-17,119.1247513498153
2016-04-24,120.98607558965617
2016-05-01,137.73799374822394
2016-05-08,134.0153452685422
2016-05-15,135.8766695083831
2016-05-22,135.8766695083831
2016-05-29,132.15402102870135
2016-06-05,126.57004830917876
2016-06-12,120.98607558965617
2016-06-19,150.76726342710998
2016-06-26,147.04461494742827
2016-07-03,148.90593918726913
2016-07-10,154.48991190679172
2016-07-17,134.0153452685422
2016-07-24,132.15402102870135
2016-07-31,137.73799374822394
2016-08-07,126.57004830917876
2016-08-14,122.84739982949702
2016-08-21,122.84739982949702
2016-08-28,128.4313725490196
2016-09-04,141.46064222790568
2016-09-11,186.13242398408642
2016-09-18,135.8766695083831
2016-09-25,135.8766695083831
2016-10-02,130.2926967888605
2016-10-09,132.15402102870135
2016-10-16,130.2926967888605
2016-10-23,132.15402102870135
2016-10-30,137.73799374822394
2016-11-06,126.57004830917876
2016-11-13,104.23415743108839
2016-11-20,143.32196646774653
2016-11-27,102.37283319124752
2016-12-04,98.6501847115658
2016-12-11,98.6501847115658
2016-12-18,94.92753623188406
2016-12-25,107.95680591077011
2017-01-01,128.4313725490196
2017-01-08,99.61247137572661
2017-01-15,91.9499735775938
2017-01-22,96.5474722564735
2017-01-29,96.5474722564735
2017-02-05,95.01497269684693
2017-02-12,101.14497093535319
2017-02-19,98.07997181610006
2017-02-26,99.61247137572661
2017-03-05,105.74246961423287
2017-03-12,107.27496917385943
2017-03-19,108.807468733486
2017-03-26,105.74246961423287
2017-04-02,107.27496917385943
2017-04-09,111.87246785273912
2017-04-16,116.46996653161881
2017-04-23,107.27496917385943
2017-04-30,113.40496741236569
2017-05-07,114.93746697199225
2017-05-14,116.46996653161881
2017-05-21,122.59996477012507
2017-05-28,118.00246609124538
2017-06-04,114.93746697199225
2017-06-11,114.93746697199225
2017-06-18,124.13246432975163
2017-06-25,119.53496565087194
2017-07-02,125.6649638893782
2017-07-09,124.13246432975163
2017-07-16,122.59996477012507
2017-07-23,114.93746697199225
2017-07-30,119.53496565087194
2017-08-06,116.46996653161881
2017-08-13,118.00246609124538
2017-08-20,114.93746697199225
2017-08-27,113.40496741236569
2017-09-03,122.59996477012507
2017-09-10,128.72996300863133
2017-09-17,114.93746697199225
2017-09-24,130.2624625682579
2017-10-01,111.87246785273912
2017-10-08,113.40496741236569
2017-10-15,118.00246609124538
2017-10-22,102.67747049497974
2017-10-29,116.46996653161881
2017-11-05,107.27496917385943
2017-11-12,98.07997181610006
2017-11-19,96.5474722564735
2017-11-26,84.28747577946099
2017-12-03,88.88497445834068
2017-12-10,79.6899771005813
2017-12-17,75.0924784217016
2017-12-24,102.67747049497974
2017-12-31,107.27496917385943
2018-01-07,107.27496917385943
2018-01-14,107.27496917385943
2018-01-21,107.27496917385943
2018-01-28,108.807468733486
2018-02-04,107.27496917385943
2018-02-11,113.40496741236569
2018-02-18,113.40496741236569
2018-02-25,119.53496565087194
2018-03-04,116.46996653161881
2018-03-11,130.2624625682579
2018-03-18,127.19746344900476
2018-03-25,137.9249603663907
2018-04-01,137.9249603663907
2018-04-08,140.98995948564382
2018-04-15,125.6649638893782
2018-04-22,125.6649638893782
2018-04-29,125.6649638893782
2018-05-06,137.9249603663907
2018-05-13,136.39246080676415
2018-05-20,131.79496212788445
2018-05-27,133.327461687511
2018-06-03,136.39246080676415
2018-06-10,145.58745816452353
2018-06-17,142.52245904527038
2018-06-24,131.79496212788445
2018-07-01,139.45745992601726
2018-07-08,145.58745816452353
2018-07-15,134.85996124713756
2018-07-22,130.2624625682579
2018-07-29,142.52245904527038
2018-08-05,136.39246080676415
2018-08-12,131.79496212788445
2018-08-19,127.19746344900476
2018-08-26,121.06746521049851
2018-09-02,128.72996300863133
2018-09-09,130.2624625682579
2018-09-16,131.79496212788445
2018-09-23,128.72996300863133
2018-09-30,125.6649638893782
2018-10-07,122.59996477012507
2018-10-14,122.59996477012507
2018-10-21,128.72996300863133
2018-10-28,111.87246785273912
2018-11-04,125.6649638893782
2018-11-11,105.74246961423287
2018-11-18,93.48247313722037
2018-11-25,90.41747401796724
2018-12-02,87.3524748987141
2018-12-09,88.88497445834068
2018-12-16,91.9499735775938
2018-12-23,110.33996829311256
2018-12-30,113.40496741236569
2019-01-06,108.807468733486
2019-01-13,118.00246609124538
2019-01-20,122.59996477012507
2019-01-27,124.13246432975163
2019-02-03,114.93746697199225
2019-02-10,119.53496565087194
2019-02-17,118.00246609124538
2019-02-24,131.79496212788445
2019-03-03,127.19746344900476
2019-03-10,140.98995948564382
2019-03-17,131.79496212788445
2019-03-24,139.45745992601726
2019-03-31,142.52245904527038
2019-04-07,133.327461687511
2019-04-14,144.05495860489697
2019-04-21,134.85996124713756
2019-04-28,136.39246080676415
2019-05-05,139.45745992601726
2019-05-12,142.52245904527038
2019-05-19,147.11995772415008
2019-05-26,134.85996124713756
2019-06-02,142.52245904527038
2019-06-09,147.11995772415008
2019-06-16,139.45745992601726
2019-06-23,147.11995772415008
2019-06-30,140.98995948564382
2019-07-07,148.65245728377664
2019-07-14,144.05495860489697
2019-07-21,144.05495860489697
2019-07-28,144.05495860489697
2019-08-04,153.24995596265634
2019-08-11,139.45745992601726
2019-08-18,139.45745992601726
2019-08-25,136.39246080676415
2019-09-01,137.9249603663907
2019-09-08,150.1849568434032
2019-09-15,151.7174564030298
2019-09-22,147.11995772415008
2019-09-29,147.11995772415008
2019-10-06,130.2624625682579
2019-10-13,136.39246080676415
2019-10-20,124.13246432975163
2019-10-27,125.6649638893782
2019-11-03,121.06746521049851
2019-11-10,111.87246785273912
2019-11-17,108.807468733486
2019-11-24,108.807468733486
2019-12-01,99.61247137572661
2019-12-08,95.01497269684693
2019-12-15,113.40496741236569
2019-12-22,110.33996829311256
2019-12-29,122.59996477012507
2020-01-05,122.59996477012507
2020-01-12,144.05495860489697
2020-01-19,128.72996300863133
2020-01-26,124.13246432975163
2020-02-02,116.46996653161881
2020-02-09,116.46996653161881
2020-02-16,127.19746344900476
2020-02-23,116.46996653161881
2020-03-01,105.74246961423287
2020-03-08,93.48247313722037
2020-03-15,55.16998414655628
2020-03-22,41.37748810991721
2020-03-29,50.57248546767659
2020-04-05,52.10498502730316
2020-04-12,47.50748634842346
2020-04-19,47.50748634842346
2020-04-26,44.44248722917034
2020-05-03,45.9749867887969
2020-05-10,47.50748634842346
2020-05-17,53.637484586929716
2020-05-24,50.57248546767659
2020-05-31,55.16998414655628
2020-06-07,55.16998414655628
2020-06-14,55.16998414655628
2020-06-21,62.8324819446891
2020-06-28,58.234983265809404
2020-07-05,62.8324819446891
2020-07-12,58.234983265809404
2020-07-19,65.89748106394222
2020-07-26,56.702483706182846
2020-08-02,61.299982385062535
2020-08-09,72.02747930244848
2020-08-16,73.55997886207504
2020-08-23,81.22247666020786
2020-08-30,68.96248018319535
2020-09-06,64.36498150431567
2020-09-13,59.76748282543597
2020-09-20,61.299982385062535
2020-09-27,56.702483706182846
2020-10-04,58.234983265809404
2020-10-11,50.57248546767659
2020-10-18,53.637484586929716
2020-10-25,49.03998590805003
2020-11-01,44.44248722917034
2020-11-08,44.44248722917034
2020-11-15,41.37748810991721
2020-11-22,42.909987669543774
2020-11-29,44.44248722917034
2020-12-06,45.9749867887969
2020-12-13,45.9749867887969
2020-12-20,45.9749867887969
2020-12-27,52.10498502730316
